list_code,list_title,mapped_category,mapped_subcategory
TR-05-00-00-00,"Car insurance",Consumer Law,Insurance
VE-00-00-00-00,"Veterans and Military",Administrative Law,Military/Veterans
VE-01-00-00-00,"Active Duty Claims",Administrative Law,Military/Veterans
VE-01-01-00-00,"Active duty claim for household goods",Administrative Law,Military/Veterans
VE-01-02-00-00,"Active duty medical claims",Administrative Law,Military/Veterans
VE-02-00-00-00,"Discharge from military",Administrative Law,Military/Veterans
VE-02-01-00-00,"Administrative Discharge (being fired) from military service",Administrative Law,Military/Veterans
VE-02-02-00-00,"Medical Discharge from military",Administrative Law,Military/Veterans
VE-02-03-00-00,"Applying for Military Discharge Upgrades",Administrative Law,Military/Veterans
VE-03-00-00-00,"Draft into military",Administrative Law,Military/Veterans
VE-04-00-00-00,"Health benefits for military and veterans",Administrative Law,Military/Veterans
VE-05-00-00-00,"Mental Health for military and veterans",Administrative Law,Military/Veterans
VE-06-00-00-00,"Legal protections for military",Administrative Law,Military/Veterans
VE-07-00-00-00,"Legal help for military",Administrative Law,Military/Veterans
VE-08-00-00-00,"Deployment preparation and issues",Administrative Law,Military/Veterans
WO-00-00-00-00,"Work and Employment Law",Labor & Employment,General
WO-01-00-00-00,"Applying and interviewing for a job",Labor & Employment,General
WO-01-02-00-00,"Being drug tested when applying for a job",Labor & Employment,General
WO-01-03-00-00,"Affirmative Action for employment",Labor & Employment,Discrimination
WO-02-00-00-00,"Problems at a Current Job",Labor & Employment,General
WO-02-03-00-00,"Being tested for drugs or alcohol at work",Labor & Employment,General
WO-02-04-00-00,"Wage payment, hours, and breaks at work",Labor & Employment,Wage and Hour Claims
WO-02-04-01-00,"Minimum wage at work",Labor & Employment,Wage and Hour Claims
WO-02-04-02-00,"Being paid a 'prevailing wage'",Labor & Employment,Wage and Hour Claims
WO-02-04-03-00,"Getting paid for overtime work",Labor & Employment,Wage and Hour Claims
WO-02-04-04-00,"Meal and Rest Breaks",Labor & Employment,Wage and Hour Claims
WO-02-04-05-00,"Getting paid for trainings and work-related activities",Labor & Employment,Wage and Hour Claims
WO-02-04-06-00,"Getting reimbursed for work-related costs",Labor & Employment,Wage and Hour Claims
WO-02-04-07-00,"Making a complaint under the Fair Labor Standards Act",Labor & Employment,FLSA
WO-02-05-00-00,"Minors' protections and restrictions at work",Labor & Employment,General
WO-02-06-00-00,"Being an Employee vs. an Independent Contractor",Labor & Employment,General
WO-02-08-00-00,"Being a subcontractor",Business & Corporate,Construction
WO-02-14-00-00,"Taking Time off Work at Current Job",Labor & Employment,FMLA
WO-02-14-01-00,"Taking leave for family and medical reasons",Labor & Employment,FMLA
WO-02-15-00-00,"Reasonable accommodation for a disability at work",Labor & Employment,ADA (Disability) Act Issues
WO-02-15-01-00,"Substance use disorder disability accommodation at work",Labor & Employment,ADA (Disability) Act Issues
WO-03-00-00-00,"Problems regarding a Former Job",Labor & Employment,General
WO-03-01-00-00,"Being fired after whistleblowing",Labor & Employment,Whistleblowers
WO-03-02-00-00,"Being fired from a job",Labor & Employment,Wrongful Discharge
WO-03-02-01-00,"Wrongful termination of employees who are not 'at will'",Labor & Employment,Wrongful Discharge
WO-03-04-00-00,"Employment records from former job",Labor & Employment,Document Review/Severance Packages.
WO-04-00-00-00,"Retirement and Pensions",Labor & Employment,Pensions/Benefits/Erisa
WO-04-01-00-00,"Mismanagement of retirement and pension plans (under ERISA)",Labor & Employment,Pensions/Benefits/Erisa
WO-04-03-00-00,"Eligibility for pension plan or retirement benefits",Labor & Employment,Pensions/Benefits/Erisa
WO-04-04-00-00,"Vesting of retirement plan",Labor & Employment,Pensions/Benefits/Erisa
WO-04-05-00-00,"Railroad workers' retirement system",Labor & Employment,Pensions/Benefits/Erisa
WO-05-00-00-00,"Unions",Labor & Employment,Union Issues
WO-05-01-00-00,"Employer interfering with union activity (Unfair Labor Practices)",Labor & Employment,Union Issues
WO-05-02-00-00,"Unfair Labor Practices by Unions ",Labor & Employment,Union Issues
WO-06-00-00-00,"Volunteering or interning at a job",Labor & Employment,General
WO-07-00-00-00,"Being injured on the job",Workers' Comp,State
WO-07-01-00-00,"Getting Worker's Compensation benefits",Workers' Comp,State
WO-07-02-00-00,"Working conditions that are unsafe or unhealthy",Workers' Comp,State
WO-08-00-00-00,"Discrimination around work and employment",Labor & Employment,Discrimination
WO-08-01-00-00,"Remedies for discrimination at work",Labor & Employment,Discrimination
WO-08-01-01-00,"Getting Back-Pay after discrimination at work",Labor & Employment,Wage and Hour Claims
WO-08-01-02-00,"Getting Compensated after discrimination at work",Labor & Employment,Discrimination
WO-08-01-03-00,"Punitive damages for work discrimination",Labor & Employment,Discrimination
WO-08-02-00-00,"Sexual harassment at work",Labor & Employment,Sexual Harrasment
WO-08-03-00-00,"Age discrimination at work",Labor & Employment,Discrimination
WO-08-04-00-00,"Disability discrimination at work",Labor & Employment,ADA (Disability) Act Issues
WO-08-05-00-00,"Gender discrimination at work",Labor & Employment,Discrimination
WO-08-06-00-00,"Racial and Ethnic discrimination at work",Labor & Employment,Discrimination
WO-08-07-00-00,"Religious discrimination at work",Labor & Employment,Discrimination
WO-08-08-00-00,"Sexual orientation or Gender Identity discrimination at work",Labor & Employment,Discrimination
WO-08-09-00-00,"Martial or Parental Status discrimination at work",Labor & Employment,Discrimination
WO-08-10-00-00,"Proving discrimination at work",Labor & Employment,Discrimination
WO-08-10-01-00,"Discrimination based on a 'bona fide occupational qualification'",Labor & Employment,Discrimination
WO-08-10-02-00,"Neutral work policies that lead to discrimination (disparate impact)",Labor & Employment,Discrimination
WO-09-00-00-00,"Employment in prison",General Litigation,Civil Matter for Inmates
WO-10-00-00-00,"Veterans and Military members' Civilian Work",Administrative Law,Military/Veterans
WO-10-01-00-00,"Uniform Services Employment and Reemployment Rights Act for servicemembers",Administrative Law,Military/Veterans
WO-10-01-01-00,"Reemployment after military service",Administrative Law,Military/Veterans
WO-11-00-00-00,"Suing an employer for a tort",Labor & Employment,Litigation
